comment,todaysWgt,sirename,racetime,record_1,L2comment,L5lbw,L1sp,L2racecourse,ClassL3,ClassL2,ClassL1,raceclass,L2pos,ClassL5,ClassL4,L4going,racecourse,L1dist,diomed,horsenumber,pedigreecomment,pmL3,pedstats,L5sp,sirecomment,L2raceoutcome,record_2_stats,L3dist,L3comment,timestamp,L5ran,L1going,L1pos,L4lbw,racepm,L3sp,record_3_stats,Family,L3pos,L3ran,L1raceoutcome,L1comment,CD,record_4_stats,L5comment,L5going,L4pos,record_1_stats,L5raceoutcome,DI,L3going,L2lbw,todaysWgt_dec,L2dist,L4dist,L1racecourse,WGTL3,WGTL2,WGTL1,racedate,record_5_stats,WGTL5,WGTL4,rpOR,L1lbw,dayssincelastrun,rpTS,racegoing,L3raceoutcome,racename,rpRPR,L4ran,L2ran,L1ran,L2going,L4sp,Pedprizemoney,pmL5,pmL4,L5pos,barrier,pmL2,L3lbw,record_4,record_5,record_2,record_3,L5dist,racedistance,horsename,L4comment,L3racecourse,hage,L2sp,bestodds,L4raceoutcome,pmL1,L4racecourse,L5racecourse
Has the ability to go close but far from straightforward and now a 20-race maiden.,,,5:20,Flat Turf,"soon pushed along towards rear, ridden and headway over 2f out, disputed 2nd over 1f out, kept on but always being held by winner",½,3.0,Bat,C6Hc 1K,C53yHc 2K,C6Md 2K,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,3,C63yHc 2K,C5Md 3K,St,Catterick,6.0," The most appealing option in an uncompetitive finale is SIR GEOFFREY , who won off a higher mark over C&D last season and was placed on Fibresand last month. ",5,(CLOSE),1K,,8.0,"high-class, precocious, 6f 2yo, later useful over 7f-1m; stands in Italy",3/9 (2L Bashiba 9-5) 8/1,": :5:0:2:2:£0:£2,593: 53 : 61 : 62",5.0,"held up in touch, smooth headway halfway, tracked leaders on bit and not clear run well over 1f out until checked and switched right entering final furlong, soon ridden and kept on",2015-04-08 10:04:25.155368,13,St,4,5,3K,6.0,": :20:0:5:7:£0:£6,502: - : - : -",,3,9,4/7 (2L Gentlemen 9-6) 15/2,"unruly in stalls, held up, pulled hard, headway on bit over 1f out, ridden inside final furlong, not run on",,,"held up, headway over 1f out, ridden inside final furlong, kept on",GS,2,": :15:0:3:5:£0:£3,909: 59 : 62 : 62",2/13 (0.5L By Rights 8-8) 7/1,,GF,2,,5.0,5.0,Wol,9-1,8-13,9-6,2015-04-08,,8-10,9-2,62,2,12,69,GS,3/9 (10.75L Spider Lily 8-6) 5/1,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,72,7,9,7,Gd,3.0,,2K,3K,2,3,2K,1¾,,,All-weather,Rules Races,5.0,5.0,NARBOROUGH,"taken down early, held up in touch in midfield, headway on inner to chase winner over 1f out, soon ridden and outpaced, well held but clear 2nd final furlong",Not,4,9.0,,2/7 (5L Oasis Mirage 9-0) 9/4,2K,Lin,Not
Hasn´t shown much in maidens but the step up in trip should suit,,,7:15,All-weather,"held up in rear, shaken up over 2f out, soon struggling, behind final furlong",,1.0,Lin,C5Md 3K,C5Md 3K,C53yMd 2K,  Racing UK iPad App Handicap  (Div I)  (CLASS 6) (3yo 0-60) ,0,,,,Kempton (AW),5.0,  Akavit was an easy winner at Wolverhampton on his latest start but he has an 8lb rise to defy facing a different test and preference is for THAT MAN OF MINE . His latest effort seemed too bad to true and he is taken to resume winning ways. Tocororo may prove best of the rest. ,9,3ª Carlos Sobrino-Criterium de Potrancas (Grupo 3).  (CLOSE),3K,"(SPA) ch. M, 1981 {19} DP = 2-2-0-0-0 (4)  DI = Inf  CD = 1.50",,"high-class 2yo over 6f, later top-class miler, won St. James's Palace S; good start with first 2yos",10/10 (140.5L No Delusion 8-2) 50/1,: :3:0:0:0:£0:£0: - : - : -,7.0,"very slowly away and lost about 20 lengths, very green but just about caught up in rear after 4f, soon weakened",2015-04-08 10:04:26.021029,,St,6,,3K,1.0,,,3,14,6/7 (120.5L All You 9-5) 50/1,"held up, ridden and weakened over 2f out",1.50,,,,,: :3:0:0:0:£0:£0: - : 41 : 44,,N/A,St,14½,,8.0,,Wol,8-10,8-5,9-0,2015-04-08,,,,45,12½,25,0,Std,13/14 (25L Waldnah 8-10) 50/1,  Racing UK iPad App Handicap  (Div I)  (CLASS 6) (3yo 0-60) ,62,,10,7,St,,,,,,8,3K,25,,,Rules Races,,,11.0,LORELEI,,Kem,3,1.0,,,2K,,
Winter Fibresand form uninspiring; others make more appeal.,,,5:20,Flat Turf,"held up in rear, headway 2f out, soon ridden and kept on final furlong",¼,9.0,Sth,C6Cl 2K,C6Hc 2K,C6Hc 2K,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,5,C63ySlHc 2K,C4Hc 5K,GS,Catterick,5.0," The most appealing option in an uncompetitive finale is SIR GEOFFREY , who won off a higher mark over C&D last season and was placed on Fibresand last month. ",3,(CLOSE),2K,,4.0,"useful 3yo sprinter, from good family; good source of 2yo winners, some very precocious",5/7 (70.5L Amenable 9-0) 33/1,: :5:0:0:1:£0:£625: 56 : 63 : 57,6.0,always towards rear,2015-04-08 10:04:25.151432,10,St,7,12,3K,1.0,": :11:1:1:1:£1,941:£3,336: - : - : -",,9,13,7/12 (60.75L Insolenceofoffice 9-4) p 8/1,"soon ridden along and outpaced in rear, switched left 3f out, headway 2f out, stayed on final furlong, nearest finish",,,"with leader, ridden 2f out, kept on",Gd,2,": :6:1:1:0:£1,941:£2,711: 67 : 71 : 65",2/10 (0.25L White Flag 8-2) 7/2F,,St,7½,,6.0,6.0,Sth,8-7,9-7,9-2,2015-04-08,,9-7,8-9,65,6¾,69,74,GS,9/13 (110.5L Showtime Star 8-5) 50/1,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,78,12,7,12,St,4.0,,2K,5K,2,7,2K,11½,,,All-weather,Rules Races,5.0,5.0,CAMANCHE GREY,"led, headed over 2f out, soon weakened",Sth,4,4.0,,12/12 (12L Polski Max 9-7) 33/1,2K,Cat,Rip
Very consistent during AW season but may find 5f a bit sharp.,,,5:20,Flat Turf,"held up in rear, good headway on inner halfway, ridden to lead over 1f out, driven entering final furlong, headed last 100yds, kept on same pace",5,4.0,Sth,C6Hc 2K,C6Hc 2K,C6Hc 2K,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,2,C6Hc 2K,C6Hc 2K,St,Catterick,6.0," The most appealing option in an uncompetitive finale is SIR GEOFFREY , who won off a higher mark over C&D last season and was placed on Fibresand last month. ",2,(CLOSE),2K,,5.0,"top-class Australian sprinter; prolific source of precocious/smart 2yos, champ sire in Australia",2/9 (10.5L Colourbearer 9-6) p 10/1,": :29:3:9:6:£6,792:£15,093: 74 : 81 : 65",7.0,"chased leader, closed over 2f out, ridden and every chance over 1f out, led inside final furlong, kept on well, ridden out",2015-04-08 10:04:25.149637,12,St,2,1¾,3K,9.0,": :47:4:11:8:£11,067:£23,145: - : - : -",,1,8,2/9 (0.25L Baltic Prince 9-6) p 3/1J,"slowly away, held up and in last of main group, progress just over 2f out, ridden to challenge inside final furlong, kept on but just held near finish",,,"held up in rear, ridden over 2f out, progress well over 1f out, kept on under pressure to take 3rd near finish",St,3,": :18:1:2:2:£4,274:£8,052: 80 : 80 : 65",3/12 (5L Baltic Prince 9-5) p 9/2,,St,1½,,6.0,8.0,Kem,9-1,8-11,9-2,2015-04-08,,9-7,9-1,65,¼,14,60,GS,1/8 (0.5L Bertie Blu Boy 9-3) p 8/1,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,76,9,9,9,St,7.0,,2K,2K,3,13,2K,½,,,All-weather,Rules Races,7.0,5.0,MAJOR MUSCARI,"in touch in midfield, chased leaders 3f out, went 2nd over 2f out, closed under pressure over 1f out, 3rd and ran on same pace inside final furlong",Lin,7,1.0,,3/9 (10.75L Sea Soldier 9-1) p 6/1,2K,Lin,Kem
Three wins in 2014 but stall 14 could make things awkward on reappearance.,,,5:20,Flat Turf,"with leaders, led halfway, held on well final furlong",3,5.0,Mus,C6Hc 2K,C5Hc 3K,C5Hc 3K,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,1,C6Hc 2K,C6Hc 2K,GF,Catterick,5.0," The most appealing option in an uncompetitive finale is SIR GEOFFREY , who won off a higher mark over C&D last season and was placed on Fibresand last month. ",4,"Owner: Alexander Freites  Breeder: Haras La Quebrada Winnings: 4 Starts: 2 - 1 - 1, Bs. 582.610(CLOSE)",2K,"(VEN) b. M, 1990 {1-x} DP = 2-4-25-9-2 (42)  DI = 0.79  CD = -0.12 - 4 Starts, 2 Wins, 1 Places, 1 Shows   Bs. 582.610",3.0,"smart 5-7f performer at 2-4 in Australia, brother to Catbird, first N.Hemisphere yearlings 2008",1/12 (hd Boxing Shadows 9-8) 16/1,": :1:1:0:0:£1,941:£1,941: 28 : 57 : 65",5.0,"chased leaders, ridden along well over 1f out, soon driven and one pace",2015-04-08 10:04:25.153217,13,Gd,4,¾,3K,5.0,": :17:3:2:0:£7,763:£9,784: - : - : -",,7,13,4/12 (2L Haajes 9-5) 14/1,"close up, ridden and every chance over 1f out, driven and kept on same pace inside final furlong",N/A,,"chased leader, led over 3f out, headed over 1f out, kept on same pace",Gd,2,": :16:2:2:0:£5,822:£7,843: 62 : 71 : 65",4/13 (3L Perfect Words 9-3) 15/2,0.79,GF,,,5.0,5.0,Red,9-6,8-9,9-2,2015-04-08,,9-8,8-12,65,2,186,69,GS,7/13 (6L Pastureyes 9-4) 9/2J,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,78,11,12,12,GS,4.0,,2K,2K,4,14,3K,6,,,All-weather,Rules Races,5.0,5.0,SPRING BIRD,"tracked leaders, ridden 2f out, briefly upsides inside final furlong, one pace final 75yds",Cat,6,7.0,,2/11 (0.75L Saxonette 8-6) 7/2F,3K,Mus,Cat
Likely best watched on his racecourse debut,,,5:45,,,,,,,,,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,,,,,Kempton (AW),,"  ARC CARA is the one to beat judged on his debut fifth in a decent Newmarket maiden last term. He may have needed his reappearance over C&D last time and looks set to open his account if he has derived some benefit from that outing. If improving for a gelding operation, Secret Journey looks like the biggest danger. ",3,,,,,"2nd in Coventry S. at 2, later high-class miler at 3-4, by Cadeaux Genereux; fair start first crops",,,,,2015-04-08 10:04:25.093867,,,,,3K,,,,,,,,,,,,,,,,,,,,,,,,,2015-04-08,,,,0,,,0,Std,,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,0,,,,,,,,,,4,,,,,,,,7.0,MAJOR VALENTINE,,,3,,,,,,
Failed to build on a promising debut and questions to answer at present,,,5:45,Flat Turf,"in touch in midfield, ridden and headway 2f out, chased leaders 1f out, stayed on same pace inside final furlong",,2.0,Yar,,C52yMd 3K,C52yMd 2K,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,7,,,,Kempton (AW),6.0,"  ARC CARA is the one to beat judged on his debut fifth in a decent Newmarket maiden last term. He may have needed his reappearance over C&D last time and looks set to open his account if he has derived some benefit from that outing. If improving for a gelding operation, Secret Journey looks like the biggest danger. ",7,(CLOSE),,,,"top-class 2yo at 6f, capable of siring precocious 2yos, good record with sprinters",7/12 (20.25L Deep Blue Sea 9-0) 33/1,: :2:0:0:0:£0:£0: - : - : -,,,2015-04-08 10:04:25.100865,,Gd,0,,3K,,,,,,10/10 (19L Goodnightsuzy 9-0) 11/1,"chased leaders, ridden along halfway, soon weakened",,,,,,: :2:0:0:0:£0:£0: 59 : 64 : -,,,,2¼,,6.0,,Hay,,9-0,9-0,2015-04-08,,,,0,19,194,0,Std,,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,83,,12,10,Gd,,,,,,6,3K,,,,Rules Races,,,7.0,BIPARTISAN,,,3,4.0,,,2K,,
Makes some appeal on breeding but may need this initial experience,,,5:45,,,,,,,,,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,,,,,Kempton (AW),,"  ARC CARA is the one to beat judged on his debut fifth in a decent Newmarket maiden last term. He may have needed his reappearance over C&D last time and looks set to open his account if he has derived some benefit from that outing. If improving for a gelding operation, Secret Journey looks like the biggest danger. ",6,"Breeder: Leslie Combs II  Mrs. J.M. OlinState Bred: KY Winnings: 14 Starts: 3 - 1 - 0, $4,7272nd: Duke of Edinburgh S. (ENG) Imported to Australia 1974 by Mr B Jones died 1989(CLOSE)",,"(USA) ch. H, 1966 {14-f} DP = 12-12-23-1-2 (50)  DI = 2.45  CD = 0.62 - 14 Starts, 3 Wins, 1 Places, 0 Shows   $4,727",,"top-class 2yo, won 2,000 Guineas & Eclipse; can get autumn 2yo winners, progeny progress. Dead",,,,,2015-04-08 10:04:25.099140,,,,,3K,,,,,,,,0.62,,,,,,,2.45,,,,,,,,,,2015-04-08,,,,0,,,0,Std,,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,0,,,,,,,,,,7,,,,,,,,7.0,STRAIGHT ARROW,,,3,,,,,,
Made satisfactory seasonal debut on Sunday; drying ground will aid his cause.,,,5:20,Flat Turf,"made most to 2f out, steadily faded just over 1f out",5,4.0,Wdr,C5Hc 3K,C5Hc 3K,C6Hc 3K,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,5,C6Hc 2K,C5Hc 3K,Gd,Catterick,5.0," The most appealing option in an uncompetitive finale is SIR GEOFFREY , who won off a higher mark over C&D last season and was placed on Fibresand last month. ",1,(CLOSE),3K,,10.0,"smart 2yo, later top-class sprinter, good record with sprint 2yos, some smart, progeny progress well",5/8 (40.75L Perfect Pastime 8-13) t 8/1,: :4:0:0:1:£0:£383: 52 : 64 : 62,5.0,"led until ridden and headed over 1f out, kept on same pace inside final furlong",2015-04-08 10:04:25.147321,9,Sf,5,¼,3K,9.0,": :78:6:16:6:£16,301:£37,034: - : - : -",,4,11,5/7 (30.75L Windforpower 9-8) t 3/1F,"led to halfway, close up and soon ridden along, no extra inside final furlong",,,"good speed far side, ridden 2f out, hung left and kept on inside final furlong, not reach eased-down stands´ side winner",Gd,2,": :74:6:16:5:£16,301:£36,650: 85 : 88 : 65",2/9 (5L Irish Girls Spirit 9-3) t 9/1,,Gd,4¾,,5.0,5.0,Mus,8-7,8-12,9-12,2015-04-08,,9-8,8-9,65,3¾,3,84,GS,4/11 (20.25L Flash City 9-4) t 8/1,  Racing Again 22nd April Apprentice Handicap  (CLASS 6) (4yo+ 0-65) ,79,12,8,7,Hy,10.0,,2K,3K,2,10,3K,2¼,,,All-weather,Rules Races,5.0,5.0,BRONZE BEAU,"close up, ridden to lead entering final furlong, soon edged left, driven and hung right last 75yds, headed no line",Mus,8,9.0,,2/12 (0.25L Haajes 9-5) t 9/1,3K,Red,Ham
A danger if he has improved for a gelding operation,,,5:45,Flat Turf,"pressed winner, left behind from 2f out, weakened final furlong",,5.0,Goo,,C42yMd 3K,C52yMd 2K,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,4,,,,Kempton (AW),5.0,"  ARC CARA is the one to beat judged on his debut fifth in a decent Newmarket maiden last term. He may have needed his reappearance over C&D last time and looks set to open his account if he has derived some benefit from that outing. If improving for a gelding operation, Secret Journey looks like the biggest danger. ",5,"Owner: Donald Valpredo  Breeder: Donald ValpredoState Bred: CA Winnings: 2 Starts: M - 0 - 0, $0Foaled:2/2000as of July 2002(CLOSE)",,"(USA) b. F, 2000 {27-a} DP = 2-1-5-0-0 (8)  DI = 2.20  CD = 0.63 - 2 Starts, M Wins, 0 Places, 0 Shows   $0",,"6f winner at 2, later top-class sprinter, winner of July Cup; moved to Italy 2015",4/7 (70.75L Portamento 9-5) 25/1,: :2:0:0:1:£0:£722: - : - : -,,,2015-04-08 10:04:25.097526,,Gd,3,,3K,,,,,,3/14 (7L Zeb Un Nisa 9-0) 9/2,"chased leaders, slightly outpaced over 2f out, kept on again inside final furlong",0.63,,,,,: :2:0:0:1:£0:£722: 54 : 66 : -,,2.20,,7¾,,6.0,,Bat,,9-5,9-5,2015-04-08,,,,0,7,306,0,Std,,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,80,,7,14,Sf,,,,,,2,3K,,,,Rules Races,,,7.0,SECRET JOURNEY,,,3,6.0,,,2K,,
The one to beat on last season´s fifth in a decent Newmarket maiden,,,5:45,Flat Turf,"tracked winner until ridden 2f out, weakened entering final furlong",,4.0,Sal,C42yMd 4K,C22yMd 9K,C5Md 2K,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,6,,,,Kempton (AW),7.0,"  ARC CARA is the one to beat judged on his debut fifth in a decent Newmarket maiden last term. He may have needed his reappearance over C&D last time and looks set to open his account if he has derived some benefit from that outing. If improving for a gelding operation, Secret Journey looks like the biggest danger. ",1,(CLOSE),4K,,,"unbeaten 2yo inc. top renewal of Prix Morny, family of Gilt Edge Girl; first 3yos 2015",6/7 (80.75L Sixty 9-5) 8/1,: :1:0:0:0:£0:£216: 43 : 70 : 75,6.0,"awkward leaving stalls, took keen hold, soon in touch in midfield, ridden and headway over 1f out, battling for 3rd but outpaced by leading pair 1f out, weakened final 75yds",2015-04-08 10:04:25.090335,,St,4,,3K,1.0,: :3:0:0:0:£0:£216: - : - : -,,5,10,4/9 (10.25L Munfarrid 8-13) 7/2,"held up in midfield, shaken up over 2f out, reminder over 1f out, hanging final furlong but stayed on well near finish",,,,,,: :2:0:0:0:£0:£0: 40 : 73 : 75,,,Gd,8¾,,6.0,,Kem,9-5,9-5,8-13,2015-04-08,,,,75,1¼,21,57,Std,5/10 (4L Peacock 9-5) 20/1,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,87,,7,9,GF,,,,,,1,9K,4,,,All-weather,Rules Races,,7.0,ARC CARA,,Nmk,3,9.0,,,2K,,
Struggled on his reappearance but claims on last year´s C&D nursery third,,,6:15,Flat Turf,"mid-division, pushed along over 2f out, weakened final furlong",16½,4.0,Wol,C42yHc 3K,C62yHc 1K,C53yHc 3K,  £10 Free Bet At 32RedSport.com Handicap  (CLASS 5) (3yo 0-70) ,6,C42yMd 3K,C52yHc 2K,St,Kempton (AW),6.0,"  Medicean Bliss could build on her Wolverhampton maiden win but preference is for SIR HENRY RAEBURN , who has been gelded since his last run and looks fairly treated judged on his third in a Newmarket maiden that is working out well. Shipwright has yet to prove he´s effective on sand but last year´s turf form suggests he may be on a lenient mark. ",8,"Owner: Nancy Vanier  Raymond Roncari  Breeder: Harvey VanierState Bred: IL Winnings: 45 Starts: 8 - 7 - 7, $1,128,449At 2: 2nd Kentucky Jockey Club S.(G2,CD), Iroquois S.(CD)    At 3: 1st Blue Grass S.(G1,Kee), Jim Beam S.(G2,TP), Pennsylvania Derby (G2,Pha), John D. Hertz S.(AP); 2nd Florida Derby (G1,GP), Hutcheson S.(G3,GP); 3rd Arlington Classic (G1,AP)  At 4: 2nd Stephen Foster H.(G3,CD), Woodlands H.; 3rd Donn H.(G1,GP), Michigan Mile and One-Eighth H.(G2), Arlington Challenge Cup S.(AP)  At 5: 3rd Canterbury Cup (G3,Cby)1989 Horse of the Year in Illinois. At stud: Wintergreen Farm/KY 1993-99; at Fairberry Farm, Waterloo, Illinois, in 2000. Died Apr 2007 - he is buried at Fairberry Farm.       Ran in the KY Derby and because of a hock injury placed 15th (last).(CLOSE)",3K,"(USA)  ch. H, 1986 {4-r} DP = 0-0-10-0-0 (10)  DI = 1.00  CD = 0.00 - 45 Starts, 8 Wins, 7 Places, 7 Shows   $1,128,449",1.0,"smart 6-7f 3-5yo, closely related to Invincible Spirit; excellent source of early 2yos",6/12 (9L Faraajh 9-7) 7/2F,": :4:0:1:1:£0:£1,573: 38 : 65 : 62",7.0,"tracked leader, challenged over 2f out, kept on final furlong",2015-04-08 10:04:25.056827,11,St,4,¼,4K,1.0,": :7:0:1:1:£0:£1,573: - : - : -",,3,7,4/6 (8L Subversive 9-13) 33/1,"unseated rider going to start, held up in last pair, pushed along 2f out, took modest 4th final furlong, never in it",0.00,,"in touch to halfway, soon left behind and beaten",GF,2,: :3:0:0:0:£0:£0: 59 : 62 : 62,9/11 (160.5L Estidhkaar 9-5) 100/1,1.00,St,9,,7.0,6.0,Lin,7-13,9-7,8-13,2015-04-08,,9-5,8-3,62,8,12,53,Std,3/7 (0.75L Speedy Move 9-7) 10/1,  £10 Free Bet At 32RedSport.com Handicap  (CLASS 5) (3yo 0-70) ,77,6,12,6,St,4.0,,3K,2K,9,2,1K,¾,,,All-weather,Rules Races,5.0,7.0,WESTERN PLAYBOY,"chased leaders, ridden 2f out, ran on well to go 2nd inside final furlong, closing on winner nearing finish",Kem,3,4.0,,2/6 (0.25L Gold Waltz 8-10) 3/1C,3K,Lin,Nby
Could reach the frame but victory looks difficult from her current mark,,,6:15,All-weather,"held up, headway over 2f out, ridden over 1f out, stayed on same pace inside final furlong",3¼,9.0,Wol,C6Md 2K,C63yHc 2K,C53yMdAc 3K,  £10 Free Bet At 32RedSport.com Handicap  (CLASS 5) (3yo 0-70) ,4,C53yHc 3K,C6Md 2K,St,Kempton (AW),7.0,"  Medicean Bliss could build on her Wolverhampton maiden win but preference is for SIR HENRY RAEBURN , who has been gelded since his last run and looks fairly treated judged on his third in a Newmarket maiden that is working out well. Shipwright has yet to prove he´s effective on sand but last year´s turf form suggests he may be on a lenient mark. ",7,(CLOSE),2K,,1.0,"smart 2yo, high-class sprinter at 4, fast family; very good record with 2yos, sire of Gilt Edge Girl",4/5 (20.5L You're Cool 9-12) 9/2,": :10:0:3:3:£0:£4,390: - : - : -",6.0,"in touch in midfield, effort 2f out, no chance with winner but plugged on inside final furlong",2015-04-08 10:04:25.054517,8,St,2,¼,4K,4.0,,,4,9,2/10 (30.5L One Life Live It 9-5) 8/1,"chased leader, ridden and every chance over 1f out, driven to lead 1f out, soon headed and outpaced by winner, kept on same pace for clear 2nd",,,"held up in rear, shaken up over 2f out, progress over 1f out, stayed on to take 3rd last 75yds, closing on runner-up at finish",St,2,": :10:0:3:3:£0:£4,390: 57 : 63 : 63",3/8 (30.25L Ifittakesforever 9-5) 11/4J,,St,2½,,6.0,6.0,Lin,8-13,9-4,9-0,2015-04-08,,9-1,8-7,63,3½,14,71,Std,4/9 (8L Blhadawa 10-0) 7/2,  £10 Free Bet At 32RedSport.com Handicap  (CLASS 5) (3yo 0-70) ,77,7,5,10,St,2.0,,3K,2K,3,3,2K,8,,,Rules Races,,6.0,7.0,RIALTO MAGIC,"chased leaders, shaken up over 1f out, led inside final furlong, soon hard ridden, headed post",Lin,3,5.0,,2/7 (0.25L Clever Love 8-12) 5/4F,3K,Wol,Kem
Needs to improve significantly to figure,,,5:45,All-weather,"slowly into stride, ran green in rear throughout",,7.0,Lin,,C62yMd 1K,C6Md 1K,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,0,,,,Kempton (AW),8.0,"  ARC CARA is the one to beat judged on his debut fifth in a decent Newmarket maiden last term. He may have needed his reappearance over C&D last time and looks set to open his account if he has derived some benefit from that outing. If improving for a gelding operation, Secret Journey looks like the biggest danger. ",2,Owner: Mrs Laura Malcolm  Breeder: David F Byrne(CLOSE),,"(IRE) b. C, 2012 {4-r} DP = 4-2-17-5-0 (28)  DI = 1.07  CD = 0.18",,"smart 12f colt at 3-4 in Fr, later G1 winner in US/Canada, brother to Dansili; good young sire",10/11 (15L Evo Campo 9-0) 14/1,: :2:0:0:0:£0:£0: - : - : -,,,2015-04-08 10:04:25.092298,,St,9,,3K,,,,,,9/9 (90.75L With Approval 8-8) 66/1,"held up in rear, some headway 2f out, soon outpaced and beaten",0.18,,,,,: :2:0:0:0:£0:£0: 6 : 45 : -,,1.07,,15,,7.0,,Lin,,9-5,8-8,2015-04-08,,,,0,9¾,67,20,Std,,  Family Fun Here On 04.05.15 Median Auction Maiden Stakes  (CLASS 6) (3-5yo) ,59,,11,9,St,,,,,,10,1K,,,,Rules Races,,,7.0,BENJAMIN DISRAELI,,,3,5.0,,,1K,,
Stamina a question mark here and yet to prove she has trained on,,,6:15,Flat Turf,"with leaders until unable to quicken 2f out, weakened under pressure over 1f out",12½,1.0,Lin,C32yHc 11K,C52yHc 3K,C43yHc 5K,  £10 Free Bet At 32RedSport.com Handicap  (CLASS 5) (3yo 0-70) ,8,C42yHc 3K,C52yHc 2K,Sf,Kempton (AW),5.0,"  Medicean Bliss could build on her Wolverhampton maiden win but preference is for SIR HENRY RAEBURN , who has been gelded since his last run and looks fairly treated judged on his third in a Newmarket maiden that is working out well. Shipwright has yet to prove he´s effective on sand but last year´s turf form suggests he may be on a lenient mark. ",5,(CLOSE),11K,,1.0,"useful multiple 7-8f winner at 2-4 in France, from excellent family; good strike rate with 2yos",8/10 (11L Ivors Rebel 9-5) b 33/1,: :3:0:0:0:£0:£0: 34 : 45 : 66,5.0,"chased leaders, weakened well over 1f out, eased towards finish",2015-04-08 10:04:25.043224,6,St,6,½,4K,2.0,": :11:1:3:2:£2,588:£6,148: - : - : -",,7,9,6/6 (15L Crosse Fire 8-4) b 40/1,"chased leaders on wide outside, ridden along before halfway, soon outpaced and behind",,,"took keen hold, in touch in midfield, dropped to rear and ridden over 2f out, weakened over 1f out",Gd,1,": :8:1:3:2:£2,588:£6,148: 62 : 73 : 72",5/6 (120.5L Heartbreak Hero 9-7) 10/1,,Gd,11,,5.0,5.0,Sth,8-11,9-7,8-8,2015-04-08,,8-7,9-3,66,15,22,45,Std,7/9 (14L Captain Colby 9-3) b 11/1,  £10 Free Bet At 32RedSport.com Handicap  (CLASS 5) (3yo 0-70) ,73,6,10,6,St,8.0,,3K,2K,5,9,3K,14,,,All-weather,Rules Races,6.0,7.0,AMBER CRYSTAL,"led, ridden over 1f out, headed inside final furlong, rallied to lead again soon after, ran on",Chs,3,4.0,,1/6 (0.5L Muzarkash 9-0) b1 7/1,5K,War,Ffo
Solid fifth in a C&D maiden latest and respected on his handicap debut,,,6:15,All-weather,"chased leaders in 6th, shaken up over 2f out, progress over 1f out, kept on final furlong, nearly took 3rd",,7.0,Kem,C53yMd 3K,C5Md 2K,C5Md 2K,  £10 Free Bet At 32RedSport.com Handicap  (CLASS 5) (3yo 0-70) ,4,,,,Kempton (AW),7.0,"  Medicean Bliss could build on her Wolverhampton maiden win but preference is for SIR HENRY RAEBURN , who has been gelded since his last run and looks fairly treated judged on his third in a Newmarket maiden that is working out well. Shipwright has yet to prove he´s effective on sand but last year´s turf form suggests he may be on a lenient mark. ",2,(CLOSE),3K,,,"smart 2yo, later top-class sprinter, good record with sprint 2yos, some smart, progeny progress well",4/10 (30.75L Galago 8-12) 20/1,: :3:0:0:0:£0:£216: - : - : -,6.0,"chased leaders, ridden halfway, weakened 2f out",2015-04-08 10:04:25.036786,,St,5,,4K,1.0,,,7,7,5/9 (10.5L Munfarrid 8-13) 16/1,"led 1f, tracked leading pair, ridden and tried to challenge over 1f out, one pace inside final furlong",,,,,,: :3:0:0:0:£0:£216: 42 : 70 : 70,,,St,3¾,,6.0,,Kem,9-5,8-12,8-13,2015-04-08,,,,70,1½,21,49,Std,7/7 (120.5L Patrick 9-5) 20/1,  £10 Free Bet At 32RedSport.com Handicap  (CLASS 5) (3yo 0-70) ,77,,10,9,St,,,,,,5,2K,12½,,,Rules Races,,,7.0,SINEMA,,Lin,3,1.0,,,2K,,
